date,time,temperature,pressure,humidity,latitude,longitude,final_label
1-Apr-19,10:00:00,23.67,1013.23,65.12,1.3,103.8,0
1-Apr-19,10:01:00,25.25,1012.49,65.24,1.301,103.801,0
1-Apr-19,10:02:00,21.49,1012.07,64.09,1.302,103.802,0
1-Apr-19,10:03:00,24.45,1014.08,63.42,1.303,103.803,0
1-Apr-19,10:04:00,24.81,1013.9,66.93,1.304,103.804,0
1-Apr-19,10:05:00,23.88,1012.95,64.37,1.305,103.805,0
1-Apr-19,10:06:00,22.92,1014.57,64.58,1.306,103.806,0
1-Apr-19,10:07:00,24.21,1013.11,64.54,1.307,103.807,0
1-Apr-19,10:08:00,25.4,1011.85,64.06,1.308,103.808,0
1-Apr-19,10:09:00,23.16,1011.85,65.28,1.309,103.809,0
2-Apr-19,11:00:00,45.71,-5.55,94.71,0.0,0.0,1
2-Apr-19,11:01:00,44.74,-4.57,93.69,0.0,0.0,1
2-Apr-19,11:02:00,46.51,-3.64,94.79,0.0,0.0,1
2-Apr-19,11:03:00,44.96,-4.93,95.69,0.0,0.0,1
2-Apr-19,11:04:00,43.33,-5.08,94.78,0.0,0.0,1
3-Apr-19,12:00:00,0.0,0.0,0.0,127.6223,138.1135,2
3-Apr-19,12:01:00,0.0,0.0,0.0,129.0793,139.0493,2
3-Apr-19,12:02:00,0.0,0.0,0.0,129.0362,139.9272,2
3-Apr-19,12:03:00,0.0,0.0,0.0,129.1332,139.5077,2
3-Apr-19,12:04:00,0.0,0.0,0.0,130.3847,137.8547,2
