,precision,recall,f1-score,support
Normal,0.9944974661955794,0.9478049870991179,0.9705899887205583,214714.0
Backdoor,0.8847699866011612,0.9736694284510602,0.9270934313889353,14242.0
Password,0.6304247308276637,0.937708783651012,0.753959789864518,10178.0
DDoS,0.773743922204214,0.9393939393939394,0.848560255954497,5082.0
Injection,0.7660256410256411,0.934155141310884,0.8417772961257112,3326.0
Ransomware,0.6426096997690531,0.9763157894736842,0.7750696378830083,1140.0
XSS,0.19648093841642228,0.9305555555555556,0.324455205811138,288.0
Scanning,0.4964200477326969,0.9629629629629629,0.6551181102362205,216.0
accuracy,0.9486407743613204,0.9486407743613204,0.9486407743613204,0.9486407743613204
macro avg,0.6731215540965539,0.9503208234872771,0.7620779644980733,249186.0
weighted avg,0.9628399757982365,0.9486407743613204,0.9531329558449287,249186.0
