,precision,recall,f1-score,support
Normal,0.0,0.0,0.0,214694.0
Backdoor,0.050596658711217185,0.007442774891166971,0.012976678704780559,14242.0
Password,0.041001785038134904,0.37237178227549617,0.07386978258115444,10178.0
DDoS,0.020435899795428644,0.5680834317197954,0.03945255649013003,5082.0
Injection,0.012173074605279017,0.030366806975345762,0.01737933407898133,3326.0
Ransomware,0.0,0.0,0.0,1140.0
XSS,0.0,0.0,0.0,288.0
Scanning,0.0007900454276120877,0.018518518518518517,0.0015154385300246258,216.0
accuracy,0.027644221121661865,0.027644221121661865,0.027644221121661865,0.027644221121661865
macro avg,0.015624682947208979,0.12459791429754034,0.018149223798133874,249166.0
weighted avg,0.00514687927001751,0.027644221121661865,0.00479716091752684,249166.0
