,precision,recall,f1-score,support
Normal,0.9944499237038967,0.9955522229570498,0.9950007680384299,214714.0
Backdoor,0.9710134901418195,0.9855357393624491,0.9782207199358818,14242.0
Password,0.9802618122315402,0.9417370799764198,0.960613349368611,10178.0
DDoS,0.947561919504644,0.9635970090515545,0.9555121951219512,5082.0
Injection,0.9826086956521739,0.9512928442573662,0.9666972196761381,3326.0
Ransomware,0.9553264604810997,0.9754385964912281,0.9652777777777778,1140.0
XSS,0.9742489270386266,0.7881944444444444,0.8714011516314779,288.0
Scanning,0.9722222222222222,0.9722222222222222,0.9722222222222222,216.0
accuracy,0.9911873058679059,0.9911873058679059,0.9911873058679059,0.9911873058679059
macro avg,0.9722116813720029,0.9466962698453417,0.9581181754715612,249186.0
weighted avg,0.991195018268475,0.9911873058679059,0.9911554629810386,249186.0
