Feature,Importance
latitude_roll_std,0.17820582006942973
longitude_roll_std,0.16238736327754227
pressure_roll_mean,0.1465805373886972
humidity_roll_std,0.12655298315125785
pressure_roll_std,0.12620035298614557
temperature_roll_std,0.1051433108189846
temperature_roll_mean,0.07820626634797494
humidity_roll_mean,0.01960841868240016
latitude_roll_mean,0.016670751097943068
longitude_roll_mean,0.01563593756169704
latitude,0.01450378389313544
pressure,0.004184085563215998
temperature,0.002860653721289744
humidity,0.0021901407206307458
longitude,0.0010695947196556121
